id,abv,spirit_type,fair_price,total_score,wishlist_count,bar_count,ranking
3123,40,Irish Whiskey,33.53,1970,190,1202,196
3205,46.5,Bourbon,111.06,1965,210,1207,197
3265,35,Canadian Whisky,51.64,1943,119,1325,198
3152,50,Whiskey,66.26,1939,209,1142,199
18233,60.5,Bourbon,113.91,1938,127,1375,200
2331,45,Bourbon,63.59,1919,126,1269,201
17293,62,Bourbon,164.51,1914,239,1060,202
2086,45,Bourbon,49.1,1904,116,1325,203
4575,50,Bourbon,336.92,1896,1395,37,204
17153,54.5,Bourbon,107.16,1895,348,1020,205
19790,49,Bourbon,108.79,1894,294,1432,206
2147,46,Whiskey,82.92,1885,148,1277,207
20831,61,Bourbon,156.5,1877,56,1337,208
17688,64.05,Rye,124.24,1877,226,1149,208
17894,49,Bourbon,68.72,1874,185,1202,210
15967,43,Bourbon,77.69,1871,309,1076,211
17446,47,Bourbon,90.03,1859,121,1336,212
841,53.5,Bourbon,99.58,1858,189,1236,213
17211,61,Bourbon,61.86,1852,215,1317,214
21010,63.5,Bourbon,143.81,1845,54,1341,215
20005,62.75,Bourbon,105.83,1840,45,1296,216
2581,48.3,Rye,67.17,1840,129,1261,216
4783,45.2,Bourbon,91.49,1839,174,1135,218
17054,47,Bourbon,109.08,1828,308,1060,219
4813,55,Bourbon,79.52,1817,308,1041,220
19151,65.5,Bourbon,345.56,1815,87,1144,221
19975,62,Bourbon,115.23,1808,50,1370,222
17355,57.5,Bourbon,85.25,1799,347,1018,223
17802,64.35,Bourbon,228.07,1795,166,1049,224
48400,63.9,Bourbon,163.28,1781,425,842,225
3286,46,Rye,44.45,1780,137,1252,226
18354,62,Bourbon,175.74,1779,123,1186,227
17630,50,Bourbon,157.56,1776,135,1045,228
1948,50,Bourbon,135.44,1775,484,1103,229
3838,50,Bourbon,139.15,1758,206,1025,230
19879,66,Bourbon,255.95,1751,114,1096,231
19819,62.2,Bourbon,79.14,1740,62,1232,232
4033,55,Rye,70.52,1738,253,1051,233
3365,45.1,Bourbon,80.75,1737,150,1203,234
13955,47.5,Bourbon,100.85,1722,133,1115,235
19502,60.05,Bourbon,89.03,1719,331,1055,236
2019,45.6,Bourbon,67.06,1714,192,1090,237
592,43,Single Malt Scotch Whisky,119.13,1713,189,1023,238
3454,47,Rye,40.84,1710,92,1191,239
2034,50,Whiskey,25.37,1707,110,1145,240
17221,50,Bourbon,105.9,1706,270,1043,241
18778,50,Bourbon,153.09,1704,261,945,242
4427,45,Bourbon,79.18,1675,236,1070,243
18768,54.5,Bourbon,109.33,1667,76,1179,244
17776,45,Bourbon,47.06,1666,208,1030,245
19848,49,Bourbon,273.22,1663,139,1039,246
3181,43,Japanese Whisky,231.33,1661,234,877,247
3560,43,Bourbon,123.8,1659,188,929,248
4581,40,Rye,65.11,1650,128,1151,249
16674,50,Bourbon,346.14,1642,1067,127,250
20574,59,Whiskey,227.42,1640,82,1085,251
19465,63,Bourbon,96.48,1629,122,1091,252
19529,65,Bourbon,270.44,1618,65,1045,253
18185,50,Whiskey,46.87,1617,81,1133,254
17181,63.5,Bourbon,166.78,1615,141,944,255
18517,58.7,Bourbon,249.86,1613,100,1040,256
21024,63.9,Bourbon,168.23,1604,72,1125,257
3793,46,Bourbon,57.5,1597,157,1082,258
17246,43,Bourbon,24.94,1571,130,1103,259
18355,57.5,Bourbon,65.5,1563,90,1113,260
16693,43,Blended Whisky,112.22,1558,183,969,261
18767,54.5,Bourbon,99.03,1556,66,1105,262
2428,46,Bourbon,82.62,1537,134,992,263
14239,60,Bourbon,75.43,1528,76,1070,264
17151,60,Bourbon,73.03,1525,107,1062,265
19540,48,Bourbon,63.05,1518,165,1057,266
13347,48.3,Rye,73.96,1518,208,994,266
16367,50,Bourbon,52.41,1514,81,1107,268
17309,60,Bourbon,109.18,1504,115,1003,269
16893,47.5,Bourbon,87.89,1497,290,749,270
19779,43.5,Bourbon,60.7,1497,103,1064,270
17164,49.5,Bourbon,132.77,1489,185,870,272
50056,68.05,Bourbon,486.09,1475,596,434,273
3000,45,Whiskey,56.18,1465,158,915,274
34570,58.65,Bourbon,67.46,1459,272,921,275
2329,62.5,Whiskey,20.66,1448,79,1080,276
3086,53.5,Bourbon,209.73,1443,391,666,277
1580,50,Bourbon,210.62,1442,1054,56,278
297,44,Bourbon,55.34,1441,132,1048,279
3867,46.5,Bourbon,18.72,1439,106,961,280
1547,40,Scotch,271.87,1429,136,892,281
18104,45,Bourbon,177.5,1419,170,781,282
17177,50,Bourbon,84.41,1409,144,907,283
2256,45,Bourbon,21.5,1409,57,1033,283
521,47,Bourbon,45.53,1390,127,890,285
20607,49,Bourbon,125.18,1385,355,654,286
19499,63.5,Bourbon,110.34,1384,38,970,287
4476,60,Rye,93.42,1384,442,508,287
12902,48.1,Bourbon,138.54,1379,304,664,289
18939,63.5,Bourbon,122.33,1379,57,968,289
19851,55,Bourbon,67.83,1359,70,925,291
18084,47.5,Bourbon,212.62,1354,97,903,292
18718,50,Bourbon,77.54,1352,82,952,293
281,45,Bourbon,64.63,1344,275,1035,294
2311,45,Rye,44.2,1343,136,882,295
33325,65.3,Bourbon,104.97,1325,115,947,296
3617,46.5,Bourbon,59.33,1315,179,798,297
12112,40,Tequila,89.15,1315,155,816,297
19816,56,Bourbon,354.85,1306,808,218,299
19546,50.5,Bourbon,217.7,1295,440,585,300
3281,40,Bourbon,12.66,1279,81,865,301
17299,45,Bourbon,63.6,1271,201,785,302
44955,53,Bourbon,66.26,1269,255,789,303
21291,50,Bourbon,208.75,1263,516,423,304
16486,55,Bourbon,67.62,1260,118,877,305
15987,66,Rye,83.16,1252,196,599,306
1584,45,Bourbon,80.01,1251,98,826,307
17040,57.5,Bourbon,97.49,1241,152,756,308
17328,46.5,Bourbon,558.36,1241,646,29,308
28079,45,Bourbon,104.95,1240,274,671,310
17925,40,Bourbon,65.03,1239,129,808,311
13667,62.6,Whiskey,89.05,1234,132,753,312
17924,59,Bourbon,646.78,1230,510,219,313
27454,60.6,Bourbon,190.52,1227,126,947,314
19807,65,Bourbon,170.8,1225,85,763,315
17542,50,Bourbon,131.05,1222,159,713,316
16602,51.5,Bourbon,140,1218,142,604,317
17319,45,Bourbon,23.24,1213,131,844,318
147,40,Bourbon,28.02,1213,121,782,318
2316,46,Bourbon,67.83,1207,180,730,320
18075,62.2,Bourbon,54.3,1200,152,731,321
17921,50,Bourbon,350.74,1197,518,282,322
16680,50.5,Bourbon,156.12,1191,167,638,323
542,40,Irish Whiskey,75.21,1183,154,755,325
16791,50,Bourbon,475.05,1180,528,99,326
21257,65.5,Bourbon,240.29,1172,151,702,327
3040,43,Japanese Whisky,53.67,1169,145,949,328
48189,62.55,Bourbon,92.46,1169,130,779,328
4838,47,Rye,63.18,1168,111,782,330
20014,62,Bourbon,161.8,1154,55,775,331
2697,50.5,Bourbon,48.01,1151,88,773,332
4414,57.7,Irish Whiskey,108.44,1135,204,599,333
17214,47.5,Bourbon,76.79,1132,161,700,334
1142,47,Rye,60.59,1131,276,516,335
21036,59.05,Bourbon,166.47,1130,152,727,336
4083,43,Scotch,72.25,1129,206,615,337
25363,45.2,Bourbon,92.12,1128,46,960,338
3142,50,Rye,26.75,1125,130,728,339
18228,61.9,Bourbon,70.21,1120,54,786,340
17223,40,Bourbon,95.02,1119,352,469,341
1388,40,Whiskey,35.46,1116,63,814,342
634,51.5,Bourbon,116.01,1115,97,695,343
40819,45,Bourbon,70.06,1115,149,747,343
269,50,Bourbon,270.86,1114,816,99,345
34488,59.1,Whiskey,220.57,1108,125,767,346
48300,64.5,Bourbon,94.76,1107,116,805,347
23515,50,Bourbon,62.71,1105,139,768,348
16679,45,Bourbon,44.67,1099,231,518,349
2685,45,Whiskey,52.69,1098,84,729,350
13361,40,Bourbon,50.59,1098,84,705,350
5155,50,Rye,34.88,1095,92,736,352
5196,46,Whiskey,86.76,1095,218,574,352
42342,53.5,,107.43,1105,163,906,353
1807,45.2,Rye,45.24,1094,81,741,354
18004,45,Whiskey,207.06,1094,92,616,354
1066,40,Whiskey,130.03,1090,78,665,356
3518,52,Rye,78.84,1090,132,707,356
786,45,Rye,39.08,1080,88,753,358
678,43,Rye,152.67,1077,131,661,359
16796,40,Canadian Whisky,176.59,1077,84,612,359
4510,41,Bourbon,56.61,1075,58,733,361
46500,46,Bourbon,90.39,1074,106,717,362
16485,59,Whiskey,237.28,1073,245,423,363
2287,51.4,Whiskey,75.03,1072,180,603,364
11035,40,Vodka,22.79,1070,87,679,365
19556,50,Bourbon,145.32,1070,61,695,365
1130,50,Rye,96.44,1065,115,655,367
18883,57,Whiskey,95.43,1060,99,686,368
2363,53.5,Bourbon,59.47,1059,82,698,369
18708,49.5,Rye,155.83,1052,107,571,370
17063,50.5,Bourbon,118.49,1050,211,444,371
4857,45,Whiskey,38.72,1047,120,652,372
2028,47,Whiskey,133.4,1046,286,410,373
993,46,Rye,74.45,1046,107,655,373
18110,43.3,Bourbon,35.19,1046,174,615,373
19594,47.5,Bourbon,47.72,1045,85,680,376
2753,58.9,Rye,106.16,1037,124,678,377
2973,50,Rye,41.77,1035,81,714,378
2592,60,Bourbon,107.76,1034,329,392,379
41054,60.5,Bourbon,118.93,1031,215,563,380
858,53.5,Bourbon,41.54,1030,50,723,381
17158,50,Bourbon,55.93,1030,94,651,381
651,47,Bourbon,134.22,1028,63,653,383
5029,45,Bourbon,40.52,1027,82,643,384
20575,50,Bourbon,221.85,1027,132,524,384
2833,40,Bourbon,41.74,1024,63,669,386
4709,45,Bourbon,58.44,1021,104,667,387
32083,49.3,Bourbon,211.55,1018,114,707,388
18138,62,Bourbon,116.24,1009,60,702,389
17611,49.5,Bourbon,294.52,1000,379,361,390
27160,62.1,Bourbon,84.69,1000,41,870,390
53003,64.45,,242.72,1026,128,555,390
19883,50,Bourbon,28.09,996,89,661,392
17905,50,Rye,101.29,995,109,631,393
18440,50,Bourbon,98.96,995,55,673,393
2192,45,Rye,532.86,994,556,168,395
